Player,Played all four?,PFF1,PFF2,PFF3,PFF4
A.J. GREEN,1,72.8,89.2,82.5,84.3
A.J. JENKINS,0,47.5,58.2,53.5,0
AARON BURBRIDGE,0,55.5,0,0,0
AARON DOBSON,0,63.6,67.9,60.4,0
ACE SANDERS,0,61.9,56.4,0,0
ALDRICK ROBINSON,1,0,69.4,66.9,48.4
ALSHON JEFFERY,1,66,86.6,76.6,92
AMARA DARBOH,0,56.5,0,0,0
AMARI COOPER,1,71.2,79,63.6,77.9
ANTHONY MILLER,0,60.4,0,0,0
ARDARIUS STEWART,0,57,0,0,0
AUDEN TATE,0,53.5,0,0,0
AUSTIN PETTIS,1,60.3,69.1,66.7,63.1
BRANDIN COOKS,1,68.8,73.1,73,70.9
BRESHAD PERRIMAN,1,0,64.2,44.4,71.8
BRICE BUTLER,1,56.7,70.1,68,61.1
BRUCE ELLINGTON,1,67.1,63.1,0,57
CALVIN RIDLEY,0,68.8,0,0,0
CHAD HANSEN,0,53.7,0,0,0
CHRIS GIVENS,1,71.4,61,56.2,59.5
CHRIS GODWIN,0,81.9,80.4,0,0
CHRISTIAN KIRK,0,70.3,0,0,0
COBI HAMILTON,1,0,0,0,62.6
CODY LATIMER,1,63,56.3,60.5,70
CORDARRELLE PATTERSON,1,80.3,67.2,67.6,64.5
COREY COLEMAN,0,61.7,60.3,60,0
COREY DAVIS,0,60.1,76.4,0,0
COREY FULLER,0,0,57.7,54.9,0
COURTLAND SUTTON,0,63.8,0,0,0
D.J. MOORE,0,72,0,0,0
DAESEAN HAMILTON,0,60.1,0,0,0
DANIEL BRAVERMAN,0,74.5,0,0,0
DANTE PETTIS,0,68.5,0,0,0
DAVANTE ADAMS,1,60.5,57.7,70.2,80.5
DEANDRE HOPKINS,1,68.7,84,90.4,77.5
DEDE WESTBROOK,0,60.7,71.3,0,0
DEMARCUS ROBINSON,0,58.3,51.9,58.6,0
DENARIUS MOORE,1,76.7,68.6,73.7,51.7
DEVIN FUNCHESS,1,72.3,64.4,71.7,68.4
DEVIN STREET,0,52.3,57.8,46.7,0
DEVON WYLIE,0,58.7,0,0,0
DONTE MONCRIEF,1,72,72,73.4,61.1
DWAYNE HARRIS,1,0,72,63.9,72.9
GEREMY DAVIS,1,57.5,55.5,57.9,52.9
GREG SALAS,1,63.1,55.7,64.6,62.7
ISAIAH FORD,0,0,54.8,0,0
ISAIAH MCKENZIE,0,46.2,67,0,0
J'MON MOORE,0,53.5,0,0,0
JAKEEM GRANT,0,40.2,70.7,70.5,0
JALEN SAUNDERS,0,60.1,0,0,0
JAMES WASHINGTON,0,49.2,0,0,0
JAMISON CROWDER,1,71,66.9,72.7,60.9
JARED ABBREDERIS,1,0,60.4,52.1,57.9
JARIUS WRIGHT,1,66.5,70.9,70.8,69.2
JARVIS LANDRY,1,78,87.8,83.6,79.5
JEREMY EBERT,0,0,52.2,0,0
JEREMY KERLEY,1,69.9,67.5,73.4,61.6
JERREL JERNIGAN,1,53.2,64.1,86.5,55.4
JOE ADAMS,0,54.3,0,0,0
JOHN ROSS,0,38.1,49.4,0,0
JORDAN MATTHEWS,1,72.2,65.6,67.7,52.7
JORDAN PAYTON,0,53.4,0,0,0
JORDAN WHITE,0,60.4,0,0,0
JOSH BOYCE,0,60.8,54.9,0,0
JOSH DOCTSON,0,57.7,62.5,63.3,0
JOSH HUFF,0,58.3,64.2,63.6,0
JOSH MALONE,0,50.7,51,0,0
JOSH REYNOLDS,0,58.4,68.9,0,0
JUJU SMITH-SCHUSTER,0,76.5,81.8,0,0
JULIO JONES,1,70.8,82.5,80.8,89.8
JUNIOR HEMINGWAY,0,0,53.3,53.1,0
JURON CRINER,0,72.4,61.9,0,0
JUSTIN BLACKMON,0,65.7,71.9,0,0
JUSTIN BROWN,0,0,46.4,0,0
JUSTIN HARDY,1,63.5,75.5,61.8,60.5
JUSTIN HUNTER,1,68.5,62.9,63.1,62.3
KAELIN CLAY,0,53,0,54,0
KEALOHA PILARES,0,56.6,77.4,0,0
KEENAN ALLEN,1,83.7,76.1,79.2,88.3
KEKE COUTEE,0,64.7,0,0,0
KELVIN BENJAMIN,1,73.5,0,76.5,71.2
KENDALL WRIGHT,1,67.7,81.5,70.8,69.6
KENNY GOLLADAY,0,68,81,0,0
KENNY STILLS,1,62.6,78.4,59.9,67.7
KESHAWN MARTIN,1,51.5,56.3,56.1,58.4
KEVIN DORSEY,0,0,58,0,0
KEVIN NORWOOD,0,67.3,59.6,0,0
KEVIN WHITE,1,0,66,55.9,62
KRIS DURHAM,1,64.3,61.4,55.4,56
LAQUON TREADWELL,0,56.4,53.9,51.3,0
LAVON BRAZILL,0,56.9,61.7,0,0
LEONARD HANKERSON,1,74.4,74.7,68.2,48.9
MALACHI DUPRE,0,0,54.7,0,0
MALCOLM MITCHELL,0,67.9,0,0,0
MARCELL ATEMAN,0,53.5,0,0,0
MARKUS WHEATON,1,55.1,68.9,69.9,54.1
MARQISE LEE,1,61.4,61.6,71.9,77.4
MARQUESS WILSON,1,54.8,53.4,63.5,74.6
MARQUEZ VALDES-SCANTLING,0,60.4,0,0,0
MARQUISE GOODWIN,1,68.5,51.4,72.4,62.1
MARTAVIS BRYANT,1,74.8,69.5,0,68
MARVIN MCNUTT,0,53.1,56,0,0
MICHAEL FLOYD,1,63.1,82,69.4,81.7
MICHAEL GALLUP,0,60.3,0,0,0
MICHAEL THOMAS,0,86.4,90.6,91.3,0
MIKE EVANS,1,84.6,83.5,91.7,79.3
MIKE WILLIAMS,0,52.6,81.8,0,0
MOHAMED SANU,1,71.7,62.8,67.6,56.9
NELSON AGHOLOR,1,48.7,52.6,73.1,64.8
NICK TOON,0,0,51.7,64.4,0
NILES PAUL,0,58.9,0,0,0
PHAROH COOPER,0,52.8,63,57.1,0
QUINCY ENUNWA,0,58.9,53.2,70,0
QUINTON PATTON,1,58.1,51.8,65.7,62.1
RANDALL COBB,1,65.1,82.9,78.2,82.7
RASHARD HIGGINS,0,61.5,50.4,68.1,0
REX BURKHEAD,0,0,0,59.6,0
RICARDO LOUIS,0,57.9,53.1,0,0
RISHARD MATTHEWS,1,60.1,68.4,64.9,73.9
ROBERT HERRON,0,46.7,0,0,0
ROBERT WOODS,1,63.9,68.6,61.8,71.4
RUEBEN RANDLE,1,76.1,69.2,76.9,63.9
RYAN BROYLES,0,71.9,50,64.5,0
RYAN GRANT,1,54.5,62.7,54.3,69.1
RYAN SWITZER,0,61.5,63,0,0
SAMMY WATKINS,1,69.3,89.8,73.7,71.5
STACY COLEY,0,53.1,41.9,0,0
STEDMAN BAILEY,0,70.9,74,58.8,0
STEFON DIGGS,1,77.7,79.1,81.7,81.1
STEPHEN HILL,0,56.6,60.6,0,0
STERLING SHEPARD,0,66.4,70.7,67.3,0
T.J. GRAHAM,1,52.4,57.1,59.5,60.3
T.Y. HILTON,1,66.4,77.9,84.2,78.9
TAJAE SHARPE,0,60.8,0,61.7,0
TANDON DOSS,0,52.8,57.8,62.8,0
TAVARRES KING,1,0,54.3,0,58.7
TAVON AUSTIN,1,70,59.9,69.6,61.3
TAYWAN TAYLOR,0,58.3,70,0,0
TERRANCE WILLIAMS,1,66.2,66.2,69.9,71.7
TITUS YOUNG,0,62.7,58.6,0,0
TONEY CLEMONS,0,53,0,0,0
TORREY SMITH,1,68.6,74.6,70.5,72.1
TRAVIS BENJAMIN,1,65.8,59.1,68.8,67
TRE'QUAN SMITH,0,68.7,0,0,0
TRENT TAYLOR,0,68.4,56.2,0,0
TREY QUINN,0,57.3,0,0,0
TY MONTGOMERY,0,56.8,0,0,0
TYLER BOYD,0,65.1,62,84.5,0
TYLER LOCKETT,1,76,68.9,67.3,80.3
VINCE MAYLE,0,0,43.9,0,0
VINCENT BROWN,1,69.5,0,64.9,61.1
ZAY JONES,0,55.2,62.2,0,0
